frame_idx,reward,TPS,NTL,c1,c2,c3,c4,c5,c6,c7,c8
228,0.05780074609975738,1504.251823449501,2.2414069013481837,9,6,8,50,100,1200,60,3
229,0.48015433926783224,1531.9563092839662,2.12640108395566,9,6,8,50,100,1200,60,3
230,0.5497156756946654,1536.6305939173283,2.139100617439516,9,6,8,50,100,1200,60,3
231,0.7323059164430835,1547.1419251560073,2.1543913681702045,9,6,8,50,100,1200,60,3
232,0.5390774669167729,1536.3187905097536,2.1698673352657383,9,6,8,50,100,1200,60,3
233,0.788597790605812,1550.2109949266364,2.192165808606224,9,6,8,50,100,1200,60,3
234,0.6063139174238934,1540.3404370638227,2.1444562306286965,9,6,8,50,100,1200,60,3
235,0.71336347579839,1546.1886069828643,2.0984807517705684,9,6,8,50,100,1200,60,3
236,0.8071253405979478,1551.4901129036618,2.086047670315396,9,6,8,50,100,1200,60,3
237,0.8635431922961883,1554.6704073138706,2.1332704183012203,9,6,8,50,100,1200,60,3
238,0.39793723377845136,1527.7950777061287,2.162770235432881,9,6,8,50,100,1200,60,3
239,0.3289079583002854,1522.9849765649767,2.1260859793153433,9,6,8,50,100,1200,60,3
240,0.5348707257039478,1535.5693003693495,2.141520113318082,9,6,8,50,100,1200,60,3
241,0.7717709577940512,1549.2767145413823,2.1751903448305123,9,6,5,50,100,1200,60,3
242,0.2611814483038175,1518.8031149937433,2.134606500709178,9,6,2,50,100,1200,60,3
243,-0.2573602132395422,1482.2073830526735,2.2206910252817273,9,6,2,50,100,1200,60,3
244,0.024099391617206263,1501.773422308018,2.2337123509880894,9,6,2,50,100,1200,60,3
245,0.6637402674994513,1542.45841619864,2.17505333375395,9,6,2,50,100,1200,60,3
246,0.8034244219090793,1551.1848749896806,2.140394612027869,9,6,2,50,100,1200,60,3
247,1.3117297187091312,1574.9647165197707,1.729192395693786,1,6,5,50,100,100,60,3
248,0.8588868040456078,1555.1137143491571,1.5576727761987272,1,6,2,50,100,100,60,3
249,0.7836997611939627,1550.4647517782062,1.5531566887176653,1,6,2,50,100,100,60,3
250,0.3815334929786682,1526.6867466531828,1.5597275644737112,1,6,2,50,100,100,60,3
251,0.7329633008755043,1546.9162451002749,1.560393583247653,1,6,2,50,100,100,60,3
252,0.4293973545004835,1529.6400828234605,1.599233514766986,1,6,2,50,100,100,60,3
253,0.4229724061195753,1528.944705144202,1.5842392665491427,1,6,2,50,100,100,60,3
254,0.4684661376740674,1531.7179249218814,1.5772457631429035,1,6,2,50,100,100,60,3
255,0.4167045014929637,1528.591785745861,1.5919686497149177,1,6,2,50,100,100,60,3
256,0.31527758176781184,1522.1160235296522,1.5750668891762214,1,6,2,50,100,100,60,3
257,0.27229696148622834,1519.22862001903,1.5938787839714474,1,6,2,50,100,100,60,3
258,0.14388424307829192,1510.4871672182346,1.5764965268865503,1,6,2,50,100,100,60,3
259,0.3883055906996124,1526.4804174428127,1.5784784939221628,1,6,2,50,100,100,60,3
260,0.29964360619619096,1521.0729352739722,1.560780969204653,1,6,2,50,100,100,60,3
261,2.380582637494967,1619.811196456351,1.644119013783087,1,6,2,50,100,300,60,3
262,2.4324762313203427,1627.4420487192165,1.6833176148837272,1,6,2,50,100,500,60,3
263,2.6376042086422267,1635.5715642409175,1.7087965655848596,1,6,2,50,100,500,60,6
264,2.7754811509674644,1641.097974359854,1.6864282333843377,1,6,2,50,100,500,60,9
265,1.777526172150643,1601.936601611567,1.6934349307945058,1,6,2,50,100,500,60,12
266,3.1371491294021836,1651.6012221574795,1.741518321246265,1,6,2,50,100,500,60,15
267,3.4547748753930643,1665.5642200156733,1.6937852141203704,1,6,2,50,100,500,60,15
268,3.4900478529803474,1667.688599884632,1.732119941371435,1,6,2,50,100,500,60,15
269,3.6650277714843704,1673.535213105973,1.7463900764959517,1,6,2,50,100,500,60,15
270,2.2985986014387176,1625.2370228935627,1.6738745145542973,1,6,2,50,100,500,60,15
271,3.3773827638372413,1661.2008337329694,1.6994362623819879,1,6,2,50,100,500,60,15
272,2.8164830985702123,1644.1561245411656,1.6994712079120957,1,6,2,50,100,500,60,15
273,3.0323116802411234,1650.7560985717025,1.7413531712123327,1,6,2,50,100,500,60,15
274,1.972163277879153,1610.723108283125,1.7088071334829928,1,6,2,50,100,500,60,15
275,2.657147856655446,1635.2855204328296,1.6967759169541397,1,6,2,50,100,500,60,15
276,1.9934947687150404,1610.834197682656,1.6728851581190192,1,6,2,50,100,500,60,15
277,3.5942922020349046,1667.231667140258,1.6615523544785837,1,6,2,50,100,500,60,15
278,2.747177577284226,1641.995688163358,1.6709537862873765,1,6,2,50,100,500,60,15
279,3.6892009356598745,1672.4810101707246,1.7585058057332321,1,6,2,50,100,500,60,15
280,3.651881240266198,1673.4497808319384,1.679928952504536,1,6,2,50,100,500,60,15
281,1.4018537372479842,1586.1721044548783,1.8234827898550725,1,6,2,50,100,700,60,15
282,1.957501343332394,1606.8593872833862,1.8423699721744913,1,6,2,50,100,700,60,12
283,2.2633051349817594,1620.1947825836385,1.7900756097338248,1,6,2,50,100,700,60,9
284,1.6806647262915875,1596.7202875809976,1.839861072184853,1,6,2,50,100,700,60,6
285,2.4596062951087445,1627.139911800707,1.7383164598301764,1,6,2,50,100,700,60,3
286,3.0871913975041148,1651.5542680099059,1.7687018949727202,1,6,2,50,100,700,60,1
287,1.8142540023501963,1604.0279635562863,1.8376413252428814,1,6,2,50,100,700,60,1
288,4.837773848735363,1694.7352647048401,1.6421221925522134,1,6,8,50,100,300,60,3
289,1.096845861241163,1571.6132140093457,1.7452959706347275,1,6,8,50,100,500,60,3
290,2.176809720816541,1614.8881388747486,1.836012821903935,1,6,8,50,100,700,60,3
291,2.5970139527066745,1633.3252868587738,1.8090746061765068,1,6,8,50,100,700,60,1
292,1.6504599826846935,1595.9763964100046,1.7870080909206836,1,6,8,50,100,700,60,1
293,2.8153186062826556,1640.071667246548,1.8189471803625674,1,6,8,50,100,700,60,1
294,4.899168292759412,1708.2355602458142,1.7454810887960446,1,6,8,50,100,700,60,1
295,2.6733231730908753,1641.6978416502654,1.8040176255693319,1,6,8,50,100,700,60,1
296,2.2950238673288506,1623.3525068545243,1.8026800551561266,1,6,8,50,100,700,60,1
297,2.0021587953738176,1610.5870785560812,1.7461239937377673,1,6,8,50,100,700,60,1
298,2.4345495944635385,1626.9928154775323,1.7223126280291143,1,6,8,50,100,700,60,1
299,1.992050511826721,1610.354074592841,1.762904148766981,1,6,8,50,100,700,60,1
300,1.9990473444331809,1609.7963589451406,1.782681877651118,1,6,8,50,100,700,60,1
301,3.604369494312667,1667.4789803343147,1.797078233428713,1,8,8,50,100,700,60,1
302,1.9063925285096344,1608.7649506517191,1.8167784182847897,1,10,8,50,100,700,60,1
303,1.2754299616353844,1577.520444880998,1.7843628523703619,1,10,8,50,100,700,60,1
304,2.2163081179696675,1616.7524419680544,1.7671279681727217,1,10,8,50,100,700,60,1
305,2.605087443430125,1633.7343765418798,1.7476250496557204,1,10,8,50,100,700,60,1
306,2.333358031537053,1624.4118394189018,1.825666928173264,1,10,8,50,100,700,60,1
307,3.341348373553849,1659.952690146444,1.8034010126508822,1,10,8,50,100,700,60,1
308,2.3374160753535635,1626.0239953482499,1.7600745310078056,1,10,8,50,100,700,60,1
309,3.8753355059615426,1677.1640265613048,1.7662136724584578,1,10,8,50,100,700,60,1
310,2.420630420616901,1630.2356243620088,1.85080300921233,1,10,8,50,100,700,60,1
311,2.7891697717732327,1641.2638627212207,1.731440567769442,1,10,8,50,100,700,60,1
312,2.2693196954621193,1622.3160723396948,1.7393794677357033,1,10,8,50,100,700,60,1
